	English						
ui.dialog.switch_class_warning	All class progress will be lost. Do you want to change the operator class?						
ui.dialog.apply_skull	The pact with the Quasimorph will be impossible to break in the usual way, it will remain in effect even after the death of the operative.						
ui.dialog.remove_skull	The pact with the Quasimorph will be terminated, this action cannot be undone.						
ui.dialog.noultimate	Access is denied. The information is classified.						
ui.dialog.mercury_baron_msg	You should not have come here. Shartamakhum contemplates. Shartamakhum is waiting. Shartamakhum is preparing for war. Prepare for eternal lamentation in my womb, Gavvakh!						
ui.dialog.venus_baron_msg	Finally! Master, do you hear? I used mortal blood and answered the call! Mortal, prepare to become a part of my power!						
ui.dialog.venus_friendly_baron_msg	You simply have to accept that your demons are a part of you. You have to accept them as your friends.						
ui.dialog.moon_baron_msg	Duggur... You opened it... I have arrived... When I consume your power, please do not cry. Tears are but a futile waste of good suffering.						
ui.dialog.mars_baron_msg	Every war has its demons. Your war now has me!						
ui.dialog.mars_friendly_baron_msg	A glorious slaughter for a glorious warrior!						
ui.dialog.cattaram_baron_msg	You came here for a challenge? We'll challenge you. It'll last until you break. And you will break.						
ui.dialog.ron_baron_msg	You... shouldn't have... disturbed me... I had dreams... how beautiful they were... you know what the price of my awakening is!						
ui.dialog.scrivnus_baron_msg	You came to this place of confinement yourself. You were not called. You were not expected. But still, I have prepared something special for you. First, eternal agony will begin, and a moment later - your eternal pleas for mercy.						
ui.dialog.failed_load_game	Error! Failed to load game. Error code:						
ui.dialog.failed_save_game_112	Error! Failed to save the game, no disk space. Error code:						
ui.dialog.failed_save_game_generic	Error! Failed to save the game. Error code:						
ui.dialog.failed_go_next_dungeon	Error! Failed to load level file. Error code:						
ui.dialog.confirm_magnum_upgrade	Production of the {0} will require the following items:						
ui.dialog.station_leave_confirm	There are some items on the ground, are you sure to leave station?						
ui.dialog.confirm_cancelproject	Cancel project?						
ui.dialog.confirm_canceltraining	Training will be canceled.						
ui.dialog.confirm_cancelproduction	Cancel production?						
ui.dialog.yes	yes						
ui.dialog.no_option	no						
ui.terminal.caption	information terminal						
ui.statue.caption	statue						
ui.activity.Sleep	in the somnia						
ui.activity.Idle	moving						
ui.activity.Angry	seeking						
ui.activity.Attack	attacking						
ui.activity.Reloading	reloading						
ui.activity.Eccolapse	phasing						
ui.activity.Stasis	phasing						
ui.activity.StasisOut	phasing						
ui.actionpoints.pt1	Very slow (1)						
ui.actionpoints.pt2	Slow (2)						
ui.actionpoints.pt3	Normal (3)						
ui.actionpoints.pt4	Fast (4)						
ui.actionpoints.pt5	Rapidly (5)						
ui.actionpoints.pt6	Flashy (6)						
ui.movementtype.slow	Stealth						
ui.movementtype.normal	Normal						
ui.movementtype.run	Run						
ui.starvation.full	full						
ui.starvation.normal	normal						
ui.starvation.hungry	hungry						
ui.painthreshold.normal	normal						
ui.painthreshold.painshock	painful shock						
ui.intro.bubble1	The history of humanity is written in tears and blood.						
ui.intro.bubble2	Liars, tyrants, idealists - they all tried to bring happiness on the edge of a sword.						
ui.intro.bubble3	We waited for liberation from the shackles of fate and were ready to go through the Last Judgment for it.						
ui.intro.bubble4	Not for the glorious death for the Eternal Kingdom, Love, or the Lord, but for a way to step off the path of suffering.						
ui.intro.bubble5	But when the Apocalypse came, we shrugged our shoulders and started profiting from it as usual.						
ui.intro.bubble6	The creatures lurking in the depths of space didn't seem scarier than our own world.						
ui.intro.bubble7	Armed with the hope that the darkest hour comes before dawn, we try to survive until the first rays of the Sun...						
ui.effect.bleed.caption	Bleed						
ui.effect.bleed.desc	Bleed is a very dangerous state. It's recommended to care about it.						
ui.effect.burning.caption	Combustion						
ui.effect.burning.desc	Very blistering and painful						
ui.effect.burning.value	{0} damage						
ui.effect.healthregen.caption	Regeneration						
ui.effect.healthregen.desc	The body's natural recovery process						
ui.effect.healthregen.value	{0} regen						
ui.effect.stun.caption	Knockout						
ui.effect.stun.desc	Wow, you can see the Orion Arm from here						
ui.effect.stun.value	{0} duration						
ui.effect.dotactiondmg.caption	fracture						
ui.effect.dotactiondmg.desc	Actions performed by broken limbs cause tremendous pain						
ui.effect.dotmovedmg.caption	fracture						
ui.effect.dotmovedmg.desc	Actions performed by broken limbs cause tremendous pain						
ui.effect.doteatdmg.caption	Food Damage						
ui.effect.doteatdmg.desc	Stomach Damage due to damage from eating						
ui.effect.infectionEffect.caption	Infection						
ui.effect.infectionEffect.desc	The progression of the infection leads to serious illnesses						
ui.effect.poisonEffect.caption	Poisoning						
ui.effect.poisonEffect.desc	The result of a poisonous substance entering the body						
ui.effect.gavaahAddiction.caption	Gavvakh Addiction						
ui.effect.gavaahAddiction.desc	Enhance Q-morphos events and cause hallucinations						
ui.effect.morphineAddiction.caption	Drug Addiction						
ui.effect.morphineAddiction.desc	Drug addiction reduces all stats						
ui.effect.alcoholAddiction.caption	Alcohol Addiction						
ui.effect.alcoholAddiction.desc	Seems like one more is not a crime tho						
ui.effect.nicotineAddiction.caption	Nicotine Addiction						
ui.effect.nicotineAddiction.desc	A constant urge to unwind with a cigarette						
ui.effect.coldEffect.caption	Hypothermia						
ui.effect.coldEffect.desc	Very cold						
ui.effect.beamEffect.caption	Radiation sickness						
ui.effect.beamEffect.desc	Result of exposure of the body to ionizing radiation						
ui.effect.shockEffect.caption	State of shock						
ui.effect.shockEffect.desc	Follow safety rules when working with electricity						
ui.effect.starvation.desc	Severe hunger damages health						
ui.effect.drunk.caption	Intoxication						
ui.effect.drunk.desc	Intoxication with ethyl alcohol leads to a dissipation of attention, slower reactions, and decreased coordination of movements.						
ui.effect.drunk.value	{0} Accuracy						
ui.effect.rampupshoteffect.caption	Rate of fire						
ui.effect.rampupshoteffect.desc	With every consecutive shot the rate of fire increases.						
ui.effect.rampupshoteffect.value	{0} add. ammo						
ui.effect.mutation.desc	Transforming to Baron						
spaceobject.mercury.name	Mercury						
spaceobject.mercury.orbitname	Mercury's Orbit						
spaceobject.mercury.desc	In the 2150s, <color=#FFFEC1>terraforming equipment</color> was delivered to Mercury. Surprisingly quickly, it was possible to saturate the atmosphere with oxygen and nitrogen, and remove toxic gases. However, life on the surface of Mercury is impossible, no one had hoped for it. <color=#FFFEC1>Automatic stations</color> operate on the surface.<br><br>And yet, people are present on the planet. Inside <color=#FFFEC1>mountain ranges</color> and deep enough underground, it was possible to create <color=#FFFEC1>underground colonies</color>, isolated from the temperature conditions of the surface.						
spaceobject.mercury.shortdesc	A planet with conditions sufficient for life underground.<br>Start of exploration: 2110s.<br>Main contributors to terraforming: none, it's spontaneous.						
spaceobject.venus.name	Venus						
spaceobject.venus.orbitname	Orbit of Venus						
spaceobject.venus.desc	At the end of the 21st century, the entire power of several corporations was directed at the intensive <color=#FFFEC1>terraforming of the planet</color>. The following were undertaken: bombardment with ice blocks, infection of the soil with GM bacteria, sowing GM seeds, and then the settlement of GM animals (mainly insects and spiders). <color=#FFFEC1>The terraforming process</color> on Venus lasted <color=#FFFEC1>70 years</color>, and people did not control it at every stage. For example, the upper layers of the atmosphere became a toxic greenhouse under which jungles grew, and poisonous swamps still encircle the planet along the equator.<br><br>Despite all this, Venus is now the most habitable planet after Earth.						
